0,293
1,272
2,268
3,273
4,273
5,272
6,274
7,281
8,277
9,278
10,285
11,274
12,275
13,262
14,262
15,253
16,243
17,236
18,226
19,217
20,215
21,206
22,203
23,196
24,192
25,186
26,183
27,179
28,173
29,171
30,170
31,167
32,165
33,162
34,159
35,155
36,148
37,142
38,141
39,138
40,137
41,134
42,132
43,128
44,127
45,119
46,119
47,115
48,115
49,113
50,111
51,105
52,102
53,100
54,100
55,102
56,101
57,99
58,98
59,95
60,92
61,91
62,89
63,86
64,81
65,80
66,79
67,78
68,78
69,77
70,74
71,72
72,71
73,70
74,69
75,69
76,66
77,67
78,63
79,64
80,64
81,60
82,60
83,59
84,57
85,60
86,61
87,61
88,61
89,59
90,58
91,56
92,56
93,55
94,54
95,53
96,51
97,50
98,49
99,48
100,48
101,49
102,47
103,46
104,45
105,44
106,44
107,43
108,41
109,38
110,37
111,36
112,35
113,35
114,35
115,32
116,31
117,31
118,31
119,30
120,29
121,28
122,25
123,23
124,22
125,20
126,18
127,17
128,17
129,17
130,16
131,15
132,15
133,14
134,12
135,10
136,9
137,8
138,8
139,7
140,7
141,7
142,6
143,5
144,5
145,5
146,4
147,4
148,3
149,2
150,1
151,0
