12003: {0, 1, 2, 3, 7, 10, 11, 19}
12007: {0, 1, 3, 4, 5, 6, 9, 12}
12094: {0, 1, 3, 7, 10, 11, 18, 19}
12149: {0, 1, 3, 4, 5, 9, 16, 17}
12156: {0, 2, 4, 5, 6, 8, 17, 23}
12173: {2, 3, 5, 6, 15, 17, 20, 21}
12191: {2, 4, 5, 8, 12, 13, 14, 16}
12197: {2, 4, 5, 6, 7, 14, 15, 20}
12206: {0, 1, 2, 3, 10, 11, 17, 19}
12217: {0, 1, 2, 4, 5, 14, 16, 17}
12223: {0, 4, 6, 8, 10, 14, 17, 18}
12244: {0, 1, 3, 5, 11, 12, 18, 19}
12264: {2, 4, 5, 6, 14, 15, 17, 20}
12266: {2, 4, 5, 7, 8, 14, 16, 20}
12278: {2, 6, 7, 8, 19, 20, 22, 23}
12280: {0, 1, 3, 10, 11, 17, 18, 19}
12323: {0, 1, 3, 4, 5, 6, 7, 18}
12339: {0, 4, 5, 7, 9, 15, 16, 23}
12363: {0, 1, 3, 4, 12, 16, 18, 22}
12390: {0, 4, 5, 6, 8, 9, 17, 23}
12391: {0, 1, 2, 6, 12, 14, 21, 22}
12402: {0, 1, 3, 6, 10, 17, 18, 19}
12436: {0, 1, 3, 6, 10, 17, 18, 19}
12441: {0, 1, 2, 5, 7, 16, 19, 23}
12448: {0, 1, 2, 4, 5, 6, 12, 23}
12451: {0, 2, 4, 5, 6, 7, 14, 15}
12478: {2, 6, 7, 10, 14, 15, 19, 20}
12523: {0, 1, 3, 4, 6, 10, 17, 18}
12758: {0, 1, 3, 4, 5, 16, 17, 18}
12819: {0, 1, 2, 5, 6, 7, 14, 19}
12884: {0, 1, 2, 3, 4, 11, 12, 22}
12889: {2, 4, 5, 7, 15, 16, 20, 23}
12891: {0, 1, 10, 12, 16, 18, 21, 23}
12892: {4, 5, 9, 11, 14, 15, 17, 20}
12896: {1, 3, 6, 7, 9, 10, 19, 20}
12915: {0, 1, 2, 3, 4, 5, 7, 11}
12945: {3, 4, 5, 6, 7, 9, 15, 20}
12951: {0, 1, 2, 3, 4, 5, 7, 16}
12953: {2, 4, 5, 6, 7, 8, 13, 14}
12954: {0, 3, 4, 6, 8, 12, 18, 22}
12982: {0, 1, 3, 6, 7, 18, 19, 22}
12992: {0, 1, 3, 4, 5, 7, 9, 16}
13029: {2, 3, 4, 5, 6, 15, 17, 20}
13061: {0, 1, 2, 6, 10, 17, 19, 23}
13076: {0, 1, 2, 3, 4, 5, 6, 7}
13121: {0, 1, 3, 4, 5, 6, 12, 18}
13127: {1, 3, 4, 5, 11, 17, 18, 20}
13139: {0, 1, 2, 3, 4, 5, 6, 7}
13158: {0, 1, 3, 7, 9, 10, 16, 19}
